recalibrated_label,n,gold_supported_fraction,membership_mean,inner_threshold
core,37,0.35135135135135137,0.5596321899760536,0.18
inner_or_above,1529,0.3054283845650752,0.3092228170205194,0.18
outer_or_uncertain,268,0.03731343283582089,0.04120392685149726,0.18
core,37,0.35135135135135137,0.5596321899760536,0.25
inner_or_above,1377,0.3289760348583878,0.33213489237879207,0.25
outer_or_uncertain,420,0.05714285714285714,0.06308236384518762,0.25
core,37,0.35135135135135137,0.5596321899760536,0.32
inner_or_above,1264,0.34177215189873417,0.3489795342806477,0.32
outer_or_uncertain,533,0.08442776735459662,0.08017675101282694,0.32
