parameter,value,precision,recall,f1,mmr,coverage,ppv,accuracy,mean_size,median_size,num_modules,n_proteins_assigned,n_overlapping_proteins,overlap_protein_fraction,go_coherence,functional_specificity,modules_with_nongeneric_go_fraction,evidence_bundle_completeness,runtime_sec
mcl_inflation,1.4,0.2685714285714285,0.0770491803278688,0.1197452229299363,0.0599734834257496,0.1708652792990142,0.2685714285714285,0.1187214611872146,10.628571428571428,6.0,175,1860,0,0.0,0.0,0.0272585482592078,0.1771428571428571,0.0,0.9345710277557372
mcl_inflation,1.8,0.2465753424657534,0.1180327868852459,0.1596452328159645,0.0873657612160631,0.2595837897042716,0.2465753424657534,0.180640243902439,6.352739726027397,4.0,292,1855,0,0.0,0.0,0.0272298357327427,0.1095890410958904,0.0,0.4524500370025635
mcl_inflation,2.0,0.2371794871794871,0.121311475409836,0.1605206073752711,0.0906256600109058,0.2623220153340635,0.2371794871794871,0.1829640947288006,5.903846153846154,4.0,312,1842,0,0.0,0.0,0.0272144637769637,0.1025641025641025,0.0,0.4546561241149902
mcl_inflation,2.4,0.2534435261707989,0.1508196721311475,0.1891058581706063,0.1130630184933463,0.2875136911281489,0.2534435261707989,0.2024681835711531,4.961432506887053,3.0,363,1801,0,0.0,0.0,0.0243020251737561,0.0881542699724518,0.0,0.3360810279846191
mcl_inflation,3.0,0.2647058823529412,0.1770491803278688,0.212180746561886,0.1293660398277449,0.3012048192771084,0.2647058823529412,0.215095815408682,4.252450980392157,3.0,408,1735,0,0.0,0.0,0.0229806644880174,0.0784313725490196,0.0,0.323721170425415
slpa_threshold,0.05,0.0876882196634189,0.1622950819672131,0.1138585393904542,0.1189060246262763,0.2256297918948521,0.0876882196634189,0.1567732115677321,8.942426926483614,6.0,1129,1860,1751,0.9413978494623656,0.0,0.0211804299831714,0.1364038972542072,0.0,0.0
slpa_threshold,0.1,0.1386138613861386,0.1377049180327869,0.1381578947368421,0.1003229556130763,0.1730558598028477,0.1386138613861386,0.1265518622346816,5.257425742574258,4.0,606,1569,1026,0.6539196940726577,0.0,0.0237548042403895,0.099009900990099,0.0,0.0
slpa_threshold,0.2,0.2084942084942085,0.0885245901639344,0.1242807825086306,0.0680750715586781,0.1078860898138006,0.2084942084942085,0.0899954317039744,3.6254826254826256,3.0,259,771,156,0.2023346303501945,0.0,0.0331939081939081,0.1042471042471042,0.0,0.0
supplement_min_evidence,0.3,0.2656826568265683,0.1180327868852459,0.1634506242905788,0.0875360997108259,0.2634173055859803,0.2656826568265683,0.1845032604526275,6.767527675276753,4.0,271,1824,4,0.0021929824561403,0.0129870129870129,0.037014019352823,0.1217712177121771,1.0,0.0
supplement_min_evidence,0.38,0.2656826568265683,0.1180327868852459,0.1634506242905788,0.0875360997108259,0.2634173055859803,0.2656826568265683,0.1845032604526275,6.767527675276753,4.0,271,1824,4,0.0021929824561403,0.0129870129870129,0.037014019352823,0.1217712177121771,1.0,0.0
supplement_min_evidence,0.46,0.2656826568265683,0.1180327868852459,0.1634506242905788,0.0875360997108259,0.2634173055859803,0.2656826568265683,0.1845032604526275,6.763837638376383,4.0,271,1824,3,0.0016447368421052,0.0129870129870129,0.0368163388045889,0.1217712177121771,1.0,0.0
echo_weight_variant,topology_only,0.2656826568265683,0.1180327868852459,0.1634506242905788,0.0875360997108259,0.2634173055859803,0.2656826568265683,0.1845032604526275,6.763837638376383,4.0,271,1824,3,0.0016447368421052,0.0129870129870129,0.0368163388045889,0.1217712177121771,1.0,0.0
echo_weight_variant,semantic_only,0.2656826568265683,0.1180327868852459,0.1634506242905788,0.0875360997108259,0.2634173055859803,0.2656826568265683,0.1845032604526275,6.763837638376383,4.0,271,1824,3,0.0016447368421052,0.0129870129870129,0.0368163388045889,0.1217712177121771,1.0,0.0
echo_weight_variant,recall_safe_orbits,0.2656826568265683,0.1180327868852459,0.1634506242905788,0.0875360997108259,0.2634173055859803,0.2656826568265683,0.1845032604526275,6.767527675276753,4.0,271,1824,4,0.0021929824561403,0.0129870129870129,0.037014019352823,0.1217712177121771,1.0,0.0
