parameter,value,precision,recall,f1,mmr,coverage,sensitivity,ppv,accuracy
MCL inflation,1.4,0.2807017543859649,0.07868852459016394,0.12291933418693982,0.06109150697038391,0.171960569550931,0.07868852459016394,0.2807017543859649,0.12003058103975535
MCL inflation,1.8,0.2517482517482518,0.1180327868852459,0.16071428571428573,0.0873908885858341,0.25958378970427165,0.1180327868852459,0.2517482517482518,0.18147013782542112
MCL inflation,2.0,0.24183006535947713,0.12131147540983607,0.16157205240174674,0.0906507873806768,0.2623220153340635,0.12131147540983607,0.24183006535947713,0.18380660015349193
MCL inflation,2.4,0.25069637883008355,0.14754098360655737,0.18575851393188855,0.11023880940722341,0.2842278203723987,0.14754098360655737,0.25069637883008355,0.20108485083301045
MCL inflation,3.0,0.26666666666666666,0.17704918032786884,0.21280788177339904,0.12939145601785804,0.30120481927710846,0.17704918032786884,0.26666666666666666,0.21602513747054203
SLPA threshold,0.05,0.263681592039801,0.08688524590163935,0.13070283600493218,,,,,
SLPA threshold,0.1,0.29411764705882354,0.08196721311475409,0.12820512820512822,,,,,
SLPA threshold,0.15,0.2974683544303797,0.07704918032786885,0.12239583333333334,,,,,
SLPA threshold,0.2,0.3202614379084967,0.08032786885245902,0.12844036697247704,,,,,
ECHO min evidence,0.3,0.26119402985074625,0.11475409836065574,0.15945330296127563,0.08392575222534165,0.24808324205914567,0.11475409836065574,0.26119402985074625,0.17429780684878798
ECHO min evidence,0.38,0.26492537313432835,0.11639344262295082,0.16173120728929385,0.08490542041812459,0.2568455640744797,0.11639344262295082,0.26492537313432835,0.18052347959969206
ECHO min evidence,0.46,0.26865671641791045,0.1180327868852459,0.16400911161731208,0.08634741942077424,0.26013143483023,0.1180327868852459,0.26865671641791045,0.18283294842186298
